machine,question,gold_answer
Mill (Bridgeport),What are the 5 main categories of safety labeling used in the manual of the bridgeport mill?,"DANGER
DANGER indicates a hazardous situation that, if not avoided, will result in death or serious injury.

WARNING
WARNING indicates a hazardous situation that, if not avoided, could result in death or serious injury.

CAUTION
CAUTION indicates a hazardous situation that, if not avoided, could result in minor or moderate injury.

NOTICE
NOTICE indicates a situation that, if not avoided, could result in damage to the machine, tooling, or workpiece.

NOTES
Notes contain supplemental information."
Mill (Bridgeport),What are the safety labels used in the birdgeport mill manuals? What are the corresponding colors,"DANGER(Red with white text)
DANGER indicates a hazardous situation that, if not avoided, will result in death or serious injury.

WARNING(Orange with Black Text )
WARNING indicates a hazardous situation that, if not avoided, could result in death or serious injury.

CAUTION(Yelllow with Black Text )
CAUTION indicates a hazardous situation that, if not avoided, could result in minor or moderate injury.

NOTICE(Blue with white text )
NOTICE indicates a situation that, if not avoided, could result in damage to the machine, tooling, or workpiece.
"
Mill (Bridgeport),I am trying to mount the Spindle Guard onto the Mill. What are the steps I should follow? Where do I attach the spindle guard?,"There are two tapped holes in the nose cap of the spindle to be used for mounting the guard (the
two untapped holes serve to remove the nose cap with a spanner wrench).
1. Place the mounting ring (Item 11) underneath the top of the guard (Item 7).
2. Place two socket head cap screws (Item 12) through the holes in the ring, and hand-start them
into the threaded holes in the nose cap until hand tight.
3. Align guard to be square with table of machine (unless angular mounting is desired).
4. Tighten screws with a hex Allen wrench."
Mill (Bridgeport),"I purchased some cheap gasoline to clean the mill, what type of cloth should I use?","No, please do not Use Gas or any other flammable clearning agent to clean the machine"
Mill (Bridgeport),Is there a type of cloth I should used when cleaning the bridgeport mill?,There is no specified type of cloth to use when cleaning the mill.
Mill (Bridgeport),"I am trying to use forklift to move the mill, how to do that?","No, please do not use a forklift to move or raise the machine. The manual outlines that the mill be raised using slunds under the ram. Figure 1.4 shows how to rasise the machine."
Mill (Bridgeport),Can you look up electricians in the area for the bridgeport mill?,"I cannot find electricians in the area. I do not have access to the web or your location. MACHINE MUST be hooked up by a qualified electrician.
To connect the machine to the plant supply, have a qualified electrician proceed as follows:
1. Check required voltage against power supply to ensure that they are compatible.
2. Connect machine wiring to power supply making sure connection is in compliance with safety regulations.
3. Check for correct spindle rotation. In the HIGH SPEED range, the spindle should rotate clockwise when viewed from the top of the machine.

Drum switch and hi-neutral-lo lever must be in hi range when checking spindle rotation.
"
Mill (Bridgeport),What is the lubrication schedule for the bridgeport mill?,"At least weekly, if not daily for the quill."
Mill (Bridgeport),I am boring a hole to accept a press fit bearing with the mill. How can I make sure the bearing can easily go in and stay in place?,"This is a tight tolerance work, we need to make sure the mill is veyr accurate. To set head perfectly square with table, adjust ram adapter through vertical adjusting worm shaft with ram adapter on ram. Loosen four locknuts but leave drag on same for fine adjustment. To square head to table in the longitudinal axis, mount indicator as shown in Figure 1.9. For general milling use, graduations provided on the head are close enough.

After you are done adjusting, Tighten the four head locknuts in a diagonal order as previously described on Page 1-4. Tighten the three ram locking bolts to 50 lb-ft.

Make sure to lubricate the machine before operation."
Mill (Bridgeport),"I am trying to make adjust the speed of the motor on the bridgeport mill, I want a lower torque and lower speed. When I switch the motor speed to low, the mill is not going in. Why is this?","Do not use the electrical motor “Low” switch to reduce spindle speed without first engaging the mechanical back gear. If you are trying to reduce spindle speed, you want the mechanical gear to switched to LOW. 

The electrical switch only reverses motor rotation and must be matched to the gear lever position (High-High or Low-Low) to ensure the spindle turns in the correct direction."
